episode,reward
0,0.04
100,-0.04
200,-0.06
300,-0.1
400,-0.16
500,-0.08
600,0.1
700,-0.06
800,0.26
900,0.04
1000,0.02
1100,0.12
1200,0.0
1300,0.0
1400,0.2
1500,0.0
1600,-0.04
1700,0.08
1800,-0.12
1900,0.18
2000,-0.04
2100,0.16
2200,-0.02
2300,0.12
2400,-0.2
2500,0.2
2600,0.1
2700,0.26
2800,0.08
2900,0.18
3000,-0.12
3100,-0.14
3200,0.08
3300,-0.1
3400,-0.02
3500,-0.12
3600,-0.18
3700,0.0
3800,-0.04
3900,0.14
4000,-0.04
4100,-0.08
4200,0.04
4300,0.1
4400,0.0
4500,0.04
4600,0.04
4700,0.1
4800,0.04
4900,-0.12
