episode,reward
0,0.04
100,0.02
200,-0.24
300,-0.12
400,-0.02
500,0.04
600,0.14
700,0.02
800,-0.06
900,0.14
1000,0.28
1100,0.24
1200,0.18
1300,-0.06
1400,0.12
1500,0.02
1600,0.1
1700,0.08
1800,0.02
1900,-0.04
2000,0.02
2100,-0.04
2200,0.02
2300,-0.06
2400,-0.06
2500,-0.08
2600,0.3
2700,0.06
2800,0.04
2900,-0.08
3000,-0.04
3100,0.04
3200,-0.04
3300,0.14
3400,0.12
3500,-0.06
3600,0.0
3700,0.14
3800,0.1
3900,0.02
4000,-0.08
4100,-0.12
4200,0.0
4300,0.04
4400,0.12
4500,-0.1
4600,-0.04
4700,-0.04
4800,0.12
4900,0.08
5000,0.0
5100,-0.1
5200,-0.1
5300,0.1
5400,-0.02
5500,0.0
5600,0.26
5700,0.06
5800,-0.02
5900,-0.1
6000,0.08
6100,0.02
6200,0.0
6300,0.0
6400,0.12
6500,0.02
6600,0.14
6700,0.06
6800,-0.12
6900,0.06
7000,0.06
7100,0.04
7200,-0.06
7300,0.16
7400,-0.02
7500,-0.18
7600,0.0
7700,0.0
7800,-0.04
7900,0.12
8000,-0.04
8100,-0.08
8200,-0.04
8300,-0.12
8400,0.1
8500,0.02
8600,-0.08
8700,-0.04
8800,0.04
8900,0.0
9000,-0.02
9100,-0.1
9200,0.18
9300,0.04
9400,0.18
9500,0.04
9600,0.08
9700,-0.08
9800,0.06
9900,-0.04
