# _tick,_time,frames,mean_episode_return_0,loss_0,mean_episode_return_1,loss_1
0,1745394635.2018254,0,-0.023255813866853714,0.9994508624076843,0,0
1,1745394635.2151735,3200,-0.023255813866853714,0.9994508624076843,0.038167938590049744,0.9951185584068298
2,1745394638.096366,6400,0.03599113970994949,1.0041671991348267,0.038167938590049744,0.9951185584068298
3,1745394638.2694159,9600,0.03599113970994949,1.0041671991348267,-0.03905556723475456,1.005975604057312
4,1745394641.1307812,12800,0.028825009241700172,1.0009655952453613,-0.03905556723475456,1.005975604057312
5,1745394641.3291056,16000,0.028825009241700172,1.0009655952453613,-0.033129241317510605,0.9967091083526611
6,1745394644.1917198,19200,-0.014095529913902283,0.9996130466461182,-0.033129241317510605,0.9967091083526611
7,1745394644.4924688,22400,-0.014095529913902283,0.9996130466461182,0.018859362229704857,0.9923373460769653
8,1745394647.3799884,25600,-0.020231645554304123,1.001336932182312,0.018859362229704857,0.9923373460769653
9,1745394647.542703,28800,-0.020231645554304123,1.001336932182312,0.021241335198283195,1.0099914073944092
10,1745394650.7095883,32000,-0.018076250329613686,1.002746343612671,0.021241335198283195,1.0099914073944092
11,1745394651.01922,35200,-0.018076250329613686,1.002746343612671,0.02124721370637417,0.9951540231704712
12,1745394653.8161848,38400,-0.01122953649610281,1.000853419303894,0.02124721370637417,0.9951540231704712
13,1745394654.2129326,41600,-0.01122953649610281,1.000853419303894,0.014010215178132057,1.0059665441513062
14,1745394657.0787575,44800,-0.022120926529169083,1.0144916772842407,0.014010215178132057,1.0059665441513062
15,1745394657.5965886,48000,-0.022120926529169083,1.0144916772842407,0.021258939057588577,0.9915998578071594
16,1745394660.38219,51200,-0.010654037818312645,1.0057494640350342,0.021258939057588577,0.9915998578071594
17,1745394660.813346,54400,-0.010654037818312645,1.0057494640350342,0.007859306409955025,1.0307060480117798
18,1745394663.4744713,57600,-0.002125947969034314,0.9984868764877319,0.007859306409955025,1.0307060480117798
19,1745394664.0348086,60800,-0.002125947969034314,0.9984868764877319,0.004043071065098047,0.9982128739356995
20,1745394666.730864,64000,0.005859529599547386,0.9959185123443604,0.004043071065098047,0.9982128739356995
21,1745394667.445658,67200,0.005859529599547386,0.9959185123443604,-0.0061524901539087296,1.0014346837997437
22,1745394669.9507115,70400,-0.0010390201350674033,1.00459623336792,-0.0061524901539087296,1.0014346837997437
23,1745394670.6614385,73600,-0.0010390201350674033,1.00459623336792,-0.0003487778303679079,0.9965237975120544
24,1745394673.1915004,76800,-0.002142527373507619,0.9981601238250732,-0.0003487778303679079,0.9965237975120544
25,1745394673.8553083,80000,-0.002142527373507619,0.9981601238250732,0.0012918218271806836,0.9997561573982239
26,1745394676.3830366,83200,0.004327322822064161,0.9930383563041687,0.0012918218271806836,0.9997561573982239
27,1745394677.1418774,86400,0.004327322822064161,0.9930383563041687,-0.004073701798915863,1.0076709985733032
28,1745394679.576171,89600,0.007547604851424694,0.9862072467803955,-0.004073701798915863,1.0076709985733032
29,1745394680.3817766,92800,0.007547604851424694,0.9862072467803955,-0.00537692429497838,1.001137375831604
30,1745394682.8494914,96000,0.007968735881149769,0.9847265481948853,-0.00537692429497838,1.001137375831604
31,1745394683.8170109,99200,0.007968735881149769,0.9847265481948853,-0.01226875651627779,0.9958279132843018
32,1745394686.1243408,102400,0.008391253650188446,0.9969770312309265,-0.01226875651627779,0.9958279132843018
33,1745394687.0627155,105600,0.008391253650188446,0.9969770312309265,-0.0061172000132501125,1.0062859058380127
34,1745394689.3106294,108800,0.005044413730502129,1.0039268732070923,-0.0061172000132501125,1.0062859058380127
35,1745394690.3924673,112000,0.005044413730502129,1.0039268732070923,-0.005777355749160051,1.0005182027816772
36,1745394692.5698445,115200,0.012191818095743656,0.9971155524253845,-0.005777355749160051,1.0005182027816772
37,1745394693.6360502,118400,0.012191818095743656,0.9971155524253845,-0.01256548147648573,0.998725414276123
38,1745394695.8717396,121600,0.008147112093865871,1.003785490989685,-0.01256548147648573,0.998725414276123
