episode,reward
0,0.04
100,-0.06
200,-0.02
300,0.02
400,-0.04
500,-0.24
600,-0.1
700,0.0
800,0.02
900,-0.06
1000,-0.02
1100,0.26
1200,0.06
1300,-0.04
1400,0.1
1500,0.04
1600,-0.1
1700,0.08
1800,0.02
1900,-0.02
2000,-0.1
2100,0.22
2200,0.06
2300,0.18
2400,-0.14
2500,0.16
2600,0.14
2700,0.16
2800,0.0
2900,-0.02
3000,0.02
3100,0.06
3200,0.0
3300,0.12
3400,0.0
3500,0.1
3600,0.1
3700,-0.04
3800,-0.06
3900,0.08
4000,-0.16
4100,0.0
4200,-0.02
4300,-0.02
4400,0.24
4500,0.02
4600,-0.16
4700,-0.06
4800,0.06
4900,0.06
