step,rl-loss,episode
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,0,0
11,0,0
12,0,0
13,0,0
14,0,0
15,0,0
16,0,0
17,0,0
18,0,0
19,0,0
20,0,0
21,0,0
22,0,0
23,0,0
24,0,0
25,0,0
26,0,0
27,0,0
28,0,0
29,0,0
30,0,0
31,0,0
32,0,0
33,0,0
34,0,0
35,0,0
36,0,0
37,0,0
38,0,0
39,0,0
40,0,0
41,0,0
42,0,0
43,0,0
44,0,0
45,0,0
46,0,0
47,0,0
48,0,0
49,0,1
50,0,1
51,0,1
52,0,1
53,0,1
54,0,1
55,0,1
56,0,1
57,0,1
58,0,1
59,0,1
60,0,1
61,0,1
62,0,1
63,0,1
64,0,1
65,0,1
66,0,1
67,0,1
68,0,1
69,0,1
70,0,1
71,0,1
72,0,1
73,0,1
74,0,1
75,0,1
76,0,1
77,0,1
78,0,2
79,0,2
80,0,2
81,0,2
82,0,2
83,0,2
84,0,2
85,0,3
86,0,3
87,0,3
88,0,3
89,0,3
90,0,3
91,0,3
92,0,3
93,0,3
94,0,3
95,0,3
96,0,3
97,0,3
98,0,3
99,0,3
100,0.3141794800758362,3
101,0.7004973292350769,3
102,0.4564695954322815,3
103,0.502299427986145,3
104,0.4630720317363739,3
105,0.5449033975601196,3
106,0.7189893126487732,3
107,0.5363069772720337,3
108,0.6036363840103149,3
109,0.6779230833053589,3
110,0.6067590117454529,3
111,0.6423454284667969,3
112,0.5800015330314636,3
113,0.5692036151885986,3
114,0.5581734776496887,3
115,0.5063875317573547,3
116,0.5193084478378296,3
117,0.39279934763908386,3
118,0.6209372282028198,3
119,0.546065092086792,3
120,0.5812063813209534,3
121,0.41061365604400635,3
122,0.3207934498786926,3
123,0.4954286515712738,3
124,0.6416835784912109,3
125,0.26291829347610474,3
126,0.5910501480102539,3
127,0.4547080993652344,3
128,0.5172382593154907,3
129,0.4155072569847107,3
130,0.43376094102859497,3
131,0.4532216489315033,3
132,0.5197389721870422,3
133,0.4446653127670288,3
134,0.40407663583755493,3
135,0.4178340435028076,3
136,0.37876248359680176,3
137,0.49048787355422974,4
138,0.4354141056537628,4
139,0.552767276763916,4
140,0.3126969039440155,4
141,0.3964739739894867,4
142,0.38998401165008545,4
143,0.6211919188499451,4
144,0.5627537369728088,4
145,0.5500486493110657,4
146,0.3162287175655365,4
147,0.3652779459953308,4
148,0.3472113013267517,4
149,0.5821682214736938,4
150,0.5282019972801208,4
151,0.5500713586807251,4
152,0.4027191400527954,4
153,0.5070284605026245,4
154,0.6451977491378784,4
155,0.3612666130065918,4
156,0.30919554829597473,4
157,0.4654489755630493,4
158,0.35390588641166687,4
159,0.39374926686286926,4
160,0.3883035182952881,4
161,0.42369896173477173,4
162,0.39525389671325684,4
163,0.31305891275405884,4
164,0.5371553897857666,4
165,0.2807418406009674,4
166,0.4806292951107025,4
167,0.31739628314971924,4
