episode,reward
0,0.04
100,-0.06
200,-0.14
300,-0.18
400,0.02
500,-0.02
600,0.06
700,-0.02
800,0.02
900,-0.06
1000,-0.02
1100,0.1
1200,0.02
1300,-0.12
1400,0.04
1500,0.1
1600,0.18
1700,0.04
1800,0.1
1900,-0.06
2000,-0.16
2100,0.12
2200,-0.02
2300,-0.06
2400,-0.04
2500,-0.04
2600,0.08
2700,-0.2
2800,0.08
2900,0.12
3000,0.0
3100,0.12
3200,-0.12
3300,0.18
3400,0.16
3500,-0.02
3600,0.02
3700,-0.12
3800,0.1
3900,-0.24
4000,0.0
4100,-0.18
4200,0.1
4300,-0.14
4400,-0.04
4500,-0.08
4600,-0.1
4700,0.02
4800,0.12
4900,0.16
