Run    Max    Min    Mean  
2      0.26   0.06   0.12  
36     0.26   -0.16  0.04  
5      0.26   -0.12  0.08  
39     0.24   -0.16  0.03  
45     0.24   -0.16  0.01  
48     0.24   -0.16  0.06  
64     0.24   -0.16  0.02  
67     0.24   -0.16  0.01  
101    0.22   -0.18  0.03  
23     0.22   -0.18  -0.01 
77     0.22   0.00   0.10  
97     0.22   -0.06  0.09  
51     0.20   -0.16  0.04  
61     0.20   -0.16  -0.00 
81     0.20   -0.08  0.02  
95     0.20   -0.20  0.01  
10     0.18   -0.18  0.00  
100    0.18   -0.12  0.08  
24     0.18   0.02   0.07  
31     0.18   0.00   0.11  
75     0.18   -0.14  0.04  
91     0.18   -0.06  0.03  
20     0.16   -0.10  0.02  
46     0.16   -0.16  -0.01 
83     0.16   -0.14  0.04  
1      0.14   -0.02  0.05  
103    0.14   -0.10  0.05  
106    0.14   -0.04  0.04  
43     0.14   -0.16  -0.04 
54     0.14   -0.16  -0.00 
63     0.14   -0.16  0.00  
68     0.14   -0.16  -0.01 
90     0.14   -0.10  0.03  
96     0.14   -0.06  0.02  
26     0.12   -0.14  -0.00 
3      0.12   -0.14  -0.02 
32     0.12   -0.02  0.04  
35     0.12   0.00   0.06  
41     0.12   -0.16  -0.03 
52     0.12   -0.16  -0.01 
62     0.12   -0.16  0.02  
80     0.12   -0.14  -0.03 
15     0.10   -0.02  0.06  
30     0.10   -0.08  0.03  
40     0.10   -0.28  -0.06 
44     0.10   -0.18  -0.06 
56     0.10   -0.16  -0.04 
60     0.10   -0.16  -0.01 
66     0.10   -0.18  -0.07 
69     0.10   -0.16  -0.01 
72     0.10   -0.04  0.04  
74     0.10   -0.02  0.05  
89     0.10   -0.16  -0.01 
0      0.08   -0.08  0.03  
102    0.08   -0.10  0.02  
105    0.08   -0.12  0.00  
11     0.08   -0.18  -0.02 
16     0.08   -0.10  0.02  
17     0.08   -0.08  0.03  
18     0.08   -0.02  0.04  
19     0.08   -0.12  -0.02 
28     0.08   -0.10  0.00  
47     0.08   -0.16  0.01  
49     0.08   -0.16  -0.06 
65     0.08   -0.16  -0.01 
71     0.08   -0.16  -0.04 
78     0.08   -0.22  -0.02 
8      0.08   -0.06  0.03  
84     0.08   -0.12  0.02  
94     0.08   -0.06  0.03  
104    0.06   -0.10  -0.02 
107    0.06   -0.08  0.01  
12     0.06   -0.20  -0.01 
13     0.06   -0.14  0.01  
14     0.06   -0.32  -0.11 
21     0.06   -0.04  0.03  
22     0.06   -0.24  -0.04 
25     0.06   -0.06  -0.00 
27     0.06   -0.14  -0.03 
29     0.06   -0.08  0.01  
33     0.06   -0.06  0.01  
34     0.06   0.04   0.05  
38     0.06   -0.16  -0.06 
4      0.06   -0.04  -0.00 
57     0.06   -0.16  -0.02 
58     0.06   -0.20  -0.06 
59     0.06   -0.26  -0.12 
6      0.06   -0.04  0.01  
7      0.06   -0.16  -0.01 
73     0.06   -0.14  0.01  
76     0.06   -0.24  -0.05 
79     0.06   -0.12  -0.05 
82     0.06   -0.08  -0.00 
85     0.06   -0.22  -0.09 
86     0.06   -0.02  -0.00 
87     0.06   0.00   0.03  
88     0.06   -0.14  -0.04 
9      0.06   -0.12  -0.02 
92     0.06   -0.14  -0.06 
93     0.06   -0.18  -0.01 
98     0.06   -0.24  -0.06 
99     0.06   -0.26  -0.05 
37     0.04   -0.16  -0.08 
50     0.04   -0.18  -0.08 
70     0.02   -0.16  -0.08 
53     0.00   -0.16  -0.07 
42     -0.04  -0.22  -0.12 
55     -0.06  -0.16  -0.09 
