episode,reward
0,0.04
100,-0.14
200,-0.24
300,0.12
400,0.02
500,-0.02
600,0.02
700,-0.08
800,-0.04
900,0.12
1000,0.0
1100,0.02
1200,-0.14
1300,-0.06
1400,-0.1
1500,-0.14
1600,-0.04
1700,0.08
1800,0.1
1900,-0.02
2000,-0.02
2100,-0.2
2200,0.24
2300,-0.02
2400,-0.02
2500,-0.1
2600,-0.02
2700,0.16
2800,0.02
2900,-0.2
3000,0.06
3100,0.06
3200,-0.16
3300,-0.02
3400,-0.16
3500,0.0
3600,0.06
3700,0.12
3800,-0.08
3900,0.12
4000,-0.04
4100,0.04
4200,0.04
4300,0.1
4400,-0.14
4500,0.12
4600,0.12
4700,0.0
4800,-0.04
4900,-0.1
