step,rl-loss,episode
13,0,0
2304,0.17132829129695892,100
4846,0.17575204372406006,200
6941,0.16471831500530243,300
9360,0.11396957188844681,400
11759,0.07792820781469345,500
13856,0.15461507439613342,600
16191,0.06486865133047104,700
18165,0.09884261339902878,800
20533,0.030870454385876656,900
22820,0.040141116827726364,1000
25097,0.04788036271929741,1100
27537,0.10944599658250809,1200
29797,0.04086550697684288,1300
32357,0.1417539119720459,1400
34653,0.03298727795481682,1500
36905,0.09777867794036865,1600
39325,0.09025602787733078,1700
41476,0.06049847975373268,1800
43716,0.06135198101401329,1900
46209,0.08811984956264496,2000
48318,0.10964754223823547,2100
50444,0.04572424665093422,2200
52834,0.0705571100115776,2300
55157,0.06915955990552902,2400
57467,0.02637811191380024,2500
59664,0.1601601243019104,2600
61855,0.241073876619339,2700
64440,0.10142100602388382,2800
66534,0.46125084161758423,2900
