episode,reward
0,0.04
100,0.04
200,0.04
300,-0.06
400,0.04
500,-0.1
600,-0.14
700,0.0
800,0.02
900,0.08
1000,0.0
1100,0.02
1200,-0.16
1300,0.1
1400,0.0
1500,0.06
1600,0.16
1700,0.14
1800,0.12
1900,0.26
2000,0.06
2100,0.14
2200,-0.2
2300,0.04
2400,-0.08
2500,-0.02
2600,-0.14
2700,-0.1
2800,0.02
2900,-0.16
3000,-0.08
3100,0.04
3200,0.02
3300,-0.04
3400,0.04
3500,0.06
3600,0.06
3700,0.18
3800,-0.14
3900,0.06
4000,-0.12
4100,0.1
4200,-0.08
4300,-0.02
4400,-0.04
4500,-0.16
4600,-0.02
4700,0.06
4800,-0.02
4900,0.08
