episode,reward
0,0.04
100,-0.02
200,-0.04
300,0.0
400,0.08
500,0.02
600,0.04
700,-0.12
800,0.06
900,0.06
1000,0.08
1100,-0.1
1200,0.08
1300,0.1
1400,0.12
1500,-0.1
1600,-0.16
1700,0.02
1800,-0.12
1900,0.0
2000,0.28
2100,0.16
2200,0.08
2300,-0.02
2400,-0.12
2500,0.0
2600,0.08
2700,0.04
2800,0.12
2900,0.06
3000,0.08
3100,-0.12
3200,0.02
3300,0.08
3400,0.14
3500,0.1
3600,0.08
3700,0.08
3800,0.4
3900,-0.02
4000,0.16
4100,0.0
4200,0.2
4300,0.06
4400,-0.2
4500,-0.2
4600,0.08
4700,0.1
4800,0.1
4900,0.04
