episode,reward
0,0.04
100,0.02
200,0.02
300,0.02
400,-0.14
500,0.02
600,0.12
700,0.02
800,-0.1
900,-0.16
1000,0.12
1100,-0.02
1200,-0.3
1300,0.1
1400,0.12
1500,-0.08
1600,0.06
1700,0.28
1800,-0.08
1900,-0.04
2000,0.08
2100,0.08
2200,0.0
2300,0.0
2400,0.22
2500,0.1
2600,0.0
2700,0.08
2800,0.16
2900,-0.12
3000,-0.06
3100,0.04
3200,0.02
3300,0.08
3400,0.08
3500,0.08
3600,0.04
3700,0.04
3800,-0.08
3900,-0.12
4000,-0.12
4100,0.06
4200,0.08
4300,-0.04
4400,0.24
4500,0.14
4600,0.08
4700,0.06
4800,0.16
4900,0.2
