# _tick,_time,frames,mean_episode_return_0,loss_0,mean_episode_return_1,loss_1
0,1745391113.1200538,0,-0.08661417663097382,0.9974087476730347,0,0
1,1745391113.1281354,3200,-0.08661417663097382,0.9974087476730347,0.08527132123708725,1.0106807947158813
2,1745391115.492986,6400,-0.031496062874794006,1.0081404447555542,0.08527132123708725,1.0106807947158813
3,1745391115.6107721,9600,-0.031496062874794006,1.0081404447555542,0.030824637040495872,0.9993389844894409
4,1745391118.5711212,12800,-0.016492871567606926,1.0024107694625854,0.030824637040495872,0.9993389844894409
5,1745391118.7703393,16000,-0.016492871567606926,1.0024107694625854,0.022700294852256775,0.9936158657073975
6,1745391121.819916,19200,0.010018406435847282,1.0115559101104736,0.022700294852256775,0.9936158657073975
7,1745391122.0757349,22400,0.010018406435847282,1.0115559101104736,-0.018159963190555573,1.035438895225525
8,1745391124.776772,25600,0.012594875879585743,1.0017101764678955,-0.018159963190555573,1.035438895225525
9,1745391125.1876597,28800,0.012594875879585743,1.0017101764678955,-0.017558272927999496,0.9985623359680176
10,1745391127.7673297,32000,0.00933022890239954,1.0000672340393066,-0.017558272927999496,0.9985623359680176
11,1745391128.2771218,35200,0.00933022890239954,1.0000672340393066,-0.010187450796365738,0.9963825941085815
12,1745391131.1680837,38400,0.041294872760772705,1.0024381875991821,-0.010187450796365738,0.9963825941085815
13,1745391131.6459944,41600,0.041294872760772705,1.0024381875991821,-0.03897193446755409,1.0064234733581543
14,1745391134.127986,44800,0.027075042948126793,1.0035780668258667,-0.03897193446755409,1.0064234733581543
15,1745391134.7761447,48000,0.027075042948126793,1.0035780668258667,-0.028503429144620895,0.9964697957038879
16,1745391137.2904372,51200,0.032118234783411026,0.9999362230300903,-0.028503429144620895,0.9964697957038879
17,1745391137.842899,54400,0.032118234783411026,0.9999362230300903,-0.03652206063270569,1.0017529726028442
18,1745391140.3620806,57600,0.032802511006593704,0.9977226257324219,-0.03652206063270569,1.0017529726028442
19,1745391140.9212463,60800,0.032802511006593704,0.9977226257324219,-0.03557255491614342,1.0036201477050781
20,1745391143.5152588,64000,0.05181460082530975,0.9886797070503235,-0.03557255491614342,1.0036201477050781
21,1745391144.0147119,67200,0.05181460082530975,0.9886797070503235,-0.054884135723114014,1.0042994022369385
22,1745391146.6044035,70400,0.05818047747015953,0.993893027305603,-0.054884135723114014,1.0042994022369385
23,1745391147.2806203,73600,0.05818047747015953,0.993893027305603,-0.058507177978754044,1.0000463724136353
24,1745391149.769838,76800,0.05596750229597092,1.0027413368225098,-0.058507177978754044,1.0000463724136353
25,1745391150.493511,80000,0.05596750229597092,1.0027413368225098,-0.05070992559194565,1.0011228322982788
26,1745391152.7498467,83200,0.06058177724480629,0.9806387424468994,-0.05070992559194565,1.0011228322982788
27,1745391153.5453582,86400,0.06058177724480629,0.9806387424468994,-0.058154188096523285,0.9998350739479065
28,1745391155.8179102,89600,0.06260360032320023,0.981157660484314,-0.058154188096523285,0.9998350739479065
29,1745391156.6144474,92800,0.06260360032320023,0.981157660484314,-0.054277241230010986,1.0006181001663208
30,1745391158.9216065,96000,0.0517464280128479,1.030174970626831,-0.054277241230010986,1.0006181001663208
31,1745391159.8394265,99200,0.0517464280128479,1.030174970626831,-0.0526454858481884,1.0000346899032593
32,1745391161.9895601,102400,0.047068532556295395,1.0071104764938354,-0.0526454858481884,1.0000346899032593
33,1745391163.0010405,105600,0.047068532556295395,1.0071104764938354,-0.049137335270643234,1.0016894340515137
34,1745391165.1116319,108800,0.043304190039634705,0.9966027736663818,-0.049137335270643234,1.0016894340515137
35,1745391166.1095238,112000,0.043304190039634705,0.9966027736663818,-0.042810358107089996,1.001044511795044
36,1745391168.160592,115200,0.04402032122015953,0.9960371255874634,-0.042810358107089996,1.001044511795044
37,1745391169.210219,118400,0.04402032122015953,0.9960371255874634,-0.04291382431983948,0.9997555613517761
38,1745391171.395282,121600,0.03824787214398384,0.9972127676010132,-0.04291382431983948,0.9997555613517761
