episode,reward
0,0.04
100,0.0
200,0.08
300,-0.06
400,0.12
500,0.08
600,0.1
700,-0.16
800,-0.16
900,0.0
1000,0.0
1100,-0.06
1200,0.02
1300,0.06
1400,0.14
1500,0.06
1600,0.02
1700,0.26
1800,-0.14
1900,0.08
2000,-0.04
2100,0.12
2200,-0.02
2300,0.2
2400,-0.02
2500,0.02
2600,0.14
2700,-0.04
2800,0.1
2900,0.1
3000,-0.02
3100,0.04
3200,-0.1
3300,-0.16
3400,0.02
3500,0.06
3600,0.06
3700,-0.06
3800,0.02
3900,0.0
4000,-0.18
4100,0.0
4200,0.1
4300,-0.08
4400,0.06
4500,0.1
4600,0.08
4700,0.1
4800,0.04
4900,0.04
5000,0.1
5100,0.0
5200,0.06
5300,-0.06
5400,0.1
5500,-0.02
5600,-0.14
5700,0.08
5800,-0.2
5900,0.0
6000,-0.04
6100,-0.02
6200,0.08
6300,0.28
6400,0.1
6500,-0.1
6600,-0.02
6700,-0.18
6800,0.0
6900,0.3
7000,0.18
7100,-0.1
7200,-0.06
7300,0.06
7400,-0.08
7500,-0.1
7600,0.1
7700,-0.02
7800,0.0
7900,0.1
8000,0.0
8100,0.12
8200,-0.22
8300,0.1
8400,0.04
8500,-0.26
8600,0.06
8700,0.08
8800,0.3
8900,-0.12
9000,0.16
9100,-0.06
9200,0.06
9300,-0.26
9400,0.14
9500,0.16
9600,0.16
9700,0.18
9800,0.32
9900,0.04
