episode,reward
0,0.04
100,0.16
200,-0.14
300,-0.08
400,-0.02
500,0.08
600,-0.04
700,0.0
800,0.02
900,0.16
1000,-0.12
1100,0.04
1200,0.16
1300,0.02
1400,0.08
1500,0.06
1600,0.34
1700,-0.1
1800,0.22
1900,0.06
2000,0.16
2100,0.12
2200,0.02
2300,-0.04
2400,0.0
2500,-0.12
2600,0.0
2700,-0.08
2800,0.16
2900,-0.18
3000,-0.02
3100,0.02
3200,0.04
3300,0.02
3400,0.14
3500,0.08
3600,-0.04
3700,0.04
3800,0.12
3900,0.0
4000,0.0
4100,0.02
4200,-0.08
4300,0.08
4400,0.12
4500,0.12
4600,0.0
4700,-0.1
4800,-0.04
4900,-0.06
