episode,reward
0,0.04
100,-0.02
200,0.02
300,-0.12
400,-0.1
500,0.08
600,-0.12
700,0.06
800,0.04
900,-0.02
1000,0.12
1100,0.04
1200,-0.16
1300,-0.04
1400,-0.06
1500,0.08
1600,-0.1
1700,0.04
1800,0.0
1900,0.18
2000,0.0
2100,-0.08
2200,-0.08
2300,0.22
2400,0.04
2500,0.1
2600,0.08
2700,0.04
2800,-0.02
2900,0.16
3000,-0.04
3100,0.1
3200,-0.04
3300,0.18
3400,-0.18
3500,0.22
3600,0.16
3700,-0.04
3800,0.04
3900,-0.08
4000,0.06
4100,0.06
4200,-0.02
4300,-0.02
4400,-0.04
4500,0.04
4600,-0.1
4700,-0.24
4800,0.2
4900,0.14
