episode,reward
0,0.04
100,0.0
200,-0.14
300,-0.06
400,0.12
500,-0.16
600,-0.02
700,-0.02
800,-0.04
900,0.14
1000,0.02
1100,0.06
1200,0.14
1300,0.14
1400,-0.04
1500,-0.1
1600,-0.04
1700,0.12
1800,-0.02
1900,0.1
2000,0.04
2100,-0.12
2200,-0.04
2300,-0.12
2400,0.02
2500,-0.08
2600,0.1
2700,0.06
2800,0.12
2900,-0.02
3000,0.06
3100,0.06
3200,0.06
3300,-0.26
3400,0.18
3500,0.04
3600,0.04
3700,-0.04
3800,0.12
3900,0.08
4000,-0.22
4100,0.0
4200,0.06
4300,-0.18
4400,-0.08
4500,0.04
4600,-0.02
4700,0.16
4800,0.06
4900,0.08
