episode,reward
0,0.04
100,0.08
200,-0.04
300,0.02
400,0.08
500,-0.16
600,0.08
700,0.0
800,0.0
900,0.08
1000,0.08
1100,0.06
1200,0.14
1300,-0.1
1400,0.0
1500,0.12
1600,0.02
1700,-0.1
1800,-0.02
1900,-0.14
2000,0.0
2100,0.02
2200,0.04
2300,0.14
2400,-0.02
2500,-0.08
2600,0.22
2700,0.1
2800,-0.12
2900,0.06
3000,-0.1
3100,-0.04
3200,0.06
3300,0.04
3400,-0.1
3500,-0.06
3600,-0.12
3700,-0.08
3800,-0.04
3900,-0.1
4000,0.02
4100,0.1
4200,0.04
4300,-0.06
4400,0.06
4500,0.18
4600,0.12
4700,0.16
4800,0.0
4900,0.02
