episode,reward
0,0.04
100,-0.12
200,-0.06
300,0.14
400,0.1
500,0.0
600,0.12
700,0.16
800,0.02
900,0.16
1000,0.12
1100,0.16
1200,0.22
1300,-0.04
1400,-0.06
1500,-0.04
1600,0.12
1700,0.02
1800,-0.06
1900,-0.06
2000,0.04
2100,0.12
2200,0.02
2300,0.12
2400,0.08
2500,0.12
2600,0.2
2700,-0.08
2800,0.14
2900,0.08
3000,-0.02
3100,0.06
3200,-0.04
3300,0.04
3400,-0.06
3500,-0.08
3600,-0.08
3700,0.16
3800,-0.12
3900,0.04
4000,0.08
4100,0.3
4200,-0.02
4300,0.04
4400,-0.06
4500,-0.06
4600,-0.14
4700,0.08
4800,0.06
4900,-0.1
