episode,reward
0,0.04
100,0.06
200,0.12
300,-0.1
400,0.0
500,-0.02
600,0.12
700,0.08
800,-0.02
900,0.08
1000,0.04
1100,0.04
1200,0.0
1300,-0.08
1400,0.02
1500,0.0
1600,0.12
1700,-0.12
1800,0.08
1900,0.12
2000,0.04
2100,-0.06
2200,-0.12
2300,-0.14
2400,0.14
2500,0.04
2600,0.08
2700,-0.02
2800,-0.08
2900,0.06
3000,0.02
3100,-0.02
3200,0.08
3300,0.14
3400,-0.1
3500,-0.12
3600,0.08
3700,0.08
3800,0.06
3900,-0.22
4000,-0.14
4100,0.02
4200,-0.06
4300,0.1
4400,0.1
4500,-0.06
4600,0.08
4700,-0.12
4800,0.0
4900,0.02
