episode,reward
0,0.04
100,0.06
200,-0.08
300,0.06
400,0.16
500,0.08
600,0.12
700,-0.1
800,-0.02
900,0.08
1000,0.12
1100,0.04
1200,-0.06
1300,0.0
1400,0.16
1500,-0.18
1600,0.08
1700,-0.14
1800,-0.14
1900,0.0
2000,-0.1
2100,-0.04
2200,-0.14
2300,0.02
2400,0.0
2500,-0.02
2600,0.12
2700,0.0
2800,0.02
2900,0.06
3000,0.14
3100,0.14
3200,-0.06
3300,-0.1
3400,-0.1
3500,0.02
3600,0.18
3700,0.1
3800,0.02
3900,0.24
4000,-0.14
4100,0.08
4200,0.12
4300,-0.08
4400,-0.08
4500,0.02
4600,-0.12
4700,0.04
4800,-0.06
4900,0.12
