episode,reward
0,0.04
1500,0.16
3000,-0.14
4500,0.1
6000,0.02
7500,0.2
9000,0.04
10500,-0.04
12000,0.08
13500,-0.02
15000,0.02
16500,0.18
18000,0.06
19500,0.02
21000,0.08
22500,0.16
24000,-0.02
25500,0.16
27000,-0.18
28500,0.18
30000,-0.02
31500,0.08
33000,0.26
34500,-0.18
36000,0.02
37500,-0.02
39000,0.1
40500,0.1
42000,0.16
43500,-0.16
45000,0.16
46500,-0.02
48000,0.08
49500,0.08
51000,0.16
52500,-0.14
54000,0.4
55500,0.12
57000,0.16
58500,0.16
60000,-0.16
61500,0.06
63000,0.0
64500,0.14
66000,-0.02
67500,0.16
69000,0.04
70500,-0.06
72000,0.0
73500,0.12
75000,0.18
76500,0.36
78000,-0.06
79500,0.18
81000,0.14
82500,0.02
84000,0.1
85500,0.12
87000,0.02
88500,0.08
90000,0.12
91500,0.02
93000,0.08
94500,0.22
96000,0.06
97500,0.04
99000,-0.06
100500,0.2
102000,0.2
103500,0.1
105000,0.06
106500,0.06
108000,-0.12
109500,0.12
111000,0.02
112500,0.08
114000,0.06
115500,0.04
117000,0.1
118500,0.14
120000,0.0
121500,-0.02
123000,0.02
124500,0.0
126000,0.22
127500,0.0
129000,-0.14
130500,0.14
132000,0.32
133500,-0.04
135000,0.18
136500,0.14
138000,0.26
139500,0.26
141000,0.08
142500,0.26
144000,0.14
145500,0.04
147000,0.08
148500,0.0
150000,0.02
151500,0.24
153000,0.06
154500,0.08
156000,0.02
157500,0.28
159000,-0.12
160500,0.04
162000,0.06
163500,0.3
165000,0.3
166500,0.06
168000,0.08
169500,0.14
171000,-0.06
172500,0.18
174000,0.18
175500,0.0
177000,0.0
178500,0.12
180000,0.2
181500,0.06
183000,0.1
184500,0.12
186000,0.12
187500,0.06
189000,0.14
190500,0.2
192000,0.3
193500,0.14
195000,0.1
196500,0.32
198000,0.04
199500,0.1
201000,0.02
202500,0.0
204000,0.28
205500,-0.08
207000,0.06
208500,0.2
210000,0.32
211500,0.18
213000,0.1
214500,0.02
216000,-0.1
217500,0.04
219000,0.16
220500,0.18
222000,-0.02
223500,0.02
225000,0.28
226500,0.02
228000,0.12
229500,0.1
231000,0.14
232500,-0.06
234000,0.02
235500,0.18
237000,0.16
238500,0.18
240000,0.1
241500,0.2
243000,-0.02
244500,0.14
246000,0.04
247500,-0.04
249000,0.16
250500,0.16
252000,0.24
253500,-0.06
255000,0.24
256500,0.24
258000,0.1
259500,0.04
261000,0.0
262500,0.18
264000,0.2
265500,0.04
267000,-0.02
268500,0.0
270000,-0.02
271500,0.08
273000,0.14
274500,0.16
276000,0.22
277500,-0.02
279000,0.02
280500,0.14
282000,0.24
283500,0.08
285000,0.24
286500,0.2
288000,0.06
289500,0.0
291000,0.24
292500,0.12
294000,0.14
295500,0.12
297000,-0.08
298500,0.14
300000,0.26
301500,0.16
303000,-0.04
304500,0.12
306000,-0.04
307500,0.14
309000,0.2
310500,0.14
312000,0.0
313500,-0.02
315000,0.08
316500,-0.04
318000,0.1
319500,0.04
321000,0.12
322500,0.24
324000,0.22
325500,0.32
327000,-0.1
328500,0.04
330000,0.32
331500,0.2
333000,-0.06
334500,-0.08
336000,0.12
337500,0.0
339000,0.0
340500,-0.02
342000,0.14
343500,0.0
345000,0.18
346500,0.08
348000,0.0
349500,0.02
351000,0.22
352500,0.06
354000,0.04
355500,0.2
357000,0.02
358500,0.22
360000,-0.02
361500,0.08
363000,0.12
364500,0.24
366000,0.12
367500,0.12
369000,0.1
370500,0.24
372000,-0.04
373500,0.02
375000,0.1
376500,0.12
378000,0.18
379500,0.06
381000,-0.14
382500,0.1
384000,0.04
385500,0.14
387000,0.0
388500,-0.02
390000,0.06
391500,0.14
393000,0.12
394500,0.04
396000,0.14
397500,0.14
399000,0.06
