# _tick,_time,frames,mean_episode_return_0,loss_0,mean_episode_return_1,loss_1
0,1745315490.3622162,0,-0.04827586188912392,1.0,0,0
1,1745315490.36748,3200,-0.04827586188912392,1.0,0.027027027681469917,1.0
2,1745315494.7903616,6400,0.016008054837584496,1.0001320838928223,0.027027027681469917,1.0
3,1745315495.0800858,9600,0.016008054837584496,1.0001320838928223,0.006471260450780392,0.9999395608901978
4,1745315500.6798446,12800,-0.004381726495921612,1.000026822090149,0.006471260450780392,0.9999395608901978
5,1745315500.8477864,16000,-0.004381726495921612,1.000026822090149,0.008587678894400597,1.0000157356262207
6,1745315506.0512202,19200,-0.018670909106731415,1.0000618696212769,0.008587678894400597,1.0000157356262207
7,1745315506.512628,22400,-0.018670909106731415,1.0000618696212769,0.01979953795671463,1.000186800956726
8,1745315511.7813873,25600,-0.010557166300714016,1.00002121925354,0.01979953795671463,1.000186800956726
9,1745315512.130285,28800,-0.010557166300714016,1.00002121925354,0.012941079214215279,0.9996747970581055
10,1745315517.1046476,32000,-0.00879763811826706,0.9999972581863403,0.012941079214215279,0.9996747970581055
11,1745315517.5086877,35200,-0.00879763811826706,0.9999972581863403,0.016531359404325485,0.9994112849235535
12,1745315522.543403,38400,-0.007540833204984665,1.0000228881835938,0.016531359404325485,0.9994112849235535
13,1745315523.1112201,41600,-0.007540833204984665,1.0000228881835938,0.008878731168806553,0.9994203448295593
14,1745315528.0180953,44800,0.0036757439374923706,0.9999977946281433,0.008878731168806553,0.9994203448295593
15,1745315528.7056944,48000,0.0036757439374923706,0.9999977946281433,-0.0014592977240681648,0.9995205402374268
16,1745315533.5064256,51200,-0.0046691810712218285,1.000045657157898,-0.0014592977240681648,0.9995205402374268
17,1745315534.3428457,54400,-0.0046691810712218285,1.000045657157898,0.006313195917755365,0.9983445405960083
18,1745315539.193142,57600,-0.015652645379304886,1.0000053644180298,0.006313195917755365,0.9983445405960083
19,1745315540.230851,60800,-0.015652645379304886,1.0000053644180298,0.014637100510299206,0.9999014735221863
20,1745315544.811478,64000,0.0021208797115832567,0.9999852776527405,0.014637100510299206,0.9999014735221863
21,1745315545.9140656,67200,0.0021208797115832567,0.9999852776527405,0.0036645811051130295,1.0004775524139404
22,1745315550.8965747,70400,-0.0020881183445453644,1.0000174045562744,0.0036645811051130295,1.0004775524139404
