step,rl-loss,episode
168,0.2817212641239166,8
169,0.42550069093704224,8
170,0.40882155299186707,8
171,0.4584037661552429,8
172,0.46527040004730225,8
173,0.31275829672813416,8
174,0.2921159267425537,8
175,0.2826676666736603,8
176,0.30338019132614136,8
177,0.3076091408729553,8
178,0.39107969403266907,8
179,0.37304607033729553,8
180,0.4471607208251953,8
181,0.4767424762248993,8
182,0.2905765771865845,8
183,0.3367902934551239,8
184,0.2912840247154236,8
185,0.38129106163978577,8
186,0.38892629742622375,8
187,0.23416145145893097,8
188,0.36905437707901,8
189,0.3089379668235779,8
190,0.3533201515674591,8
191,0.3174291253089905,8
192,0.31838762760162354,8
193,0.4460562765598297,8
194,0.2029884159564972,8
195,0.2771204710006714,8
196,0.23730896413326263,8
197,0.34034842252731323,8
198,0.48560628294944763,8
199,0.39555034041404724,8
200,0.372933030128479,8
201,0.35820233821868896,8
202,0.3671192228794098,8
203,0.34118741750717163,8
204,0.40622249245643616,8
205,0.28532248735427856,8
206,0.31948596239089966,8
207,0.3273993730545044,8
208,0.2549085319042206,8
209,0.36666613817214966,8
210,0.4834516644477844,8
211,0.38387319445610046,8
212,0.23368987441062927,8
213,0.31387728452682495,8
214,0.4888967275619507,8
215,0.4732069671154022,8
216,0.20554187893867493,8
217,0.2924278974533081,8
218,0.46960413455963135,8
219,0.3424797058105469,8
220,0.3989042639732361,8
221,0.2648604214191437,8
222,0.24092420935630798,8
223,0.26040738821029663,8
224,0.26084527373313904,8
225,0.2942308783531189,8
226,0.3138163685798645,8
227,0.2842540144920349,8
228,0.331379234790802,8
229,0.38459664583206177,9
230,0.30077674984931946,9
231,0.2492000311613083,9
232,0.2077958583831787,9
233,0.3171270191669464,9
234,0.22432070970535278,9
235,0.25150394439697266,9
236,0.32285961508750916,9
237,0.1700427383184433,9
238,0.26543158292770386,9
239,0.2834378480911255,9
240,0.38747552037239075,10
241,0.24160367250442505,10
242,0.29143664240837097,10
243,0.19278709590435028,10
244,0.20755556225776672,10
245,0.25802066922187805,10
246,0.371966689825058,10
247,0.25682488083839417,10
248,0.23224452137947083,10
249,0.3212888538837433,10
250,0.18662498891353607,11
251,0.3677082359790802,11
252,0.3265101909637451,11
253,0.3840484321117401,11
254,0.2232501208782196,11
255,0.32991549372673035,11
256,0.38312697410583496,11
257,0.24883173406124115,11
258,0.3329005241394043,11
259,0.215962216258049,11
260,0.31830930709838867,11
261,0.25676846504211426,11
262,0.3293047845363617,11
263,0.25436538457870483,12
264,0.20690974593162537,12
265,0.3013850450515747,12
266,0.22420944273471832,12
267,0.37461456656455994,12
268,0.2662656605243683,12
269,0.30240216851234436,12
270,0.2190406769514084,12
271,0.2500230669975281,12
272,0.1402178555727005,12
273,0.33812612295150757,12
274,0.3355323374271393,12
275,0.36307162046432495,12
276,0.2743830680847168,13
277,0.33630895614624023,13
278,0.27771687507629395,13
279,0.36866021156311035,13
280,0.21351838111877441,13
281,0.3389597535133362,13
282,0.2876637578010559,13
283,0.21149815618991852,13
284,0.2445472925901413,13
285,0.29425233602523804,13
286,0.22360166907310486,13
287,0.3526380658149719,13
288,0.3597433567047119,13
289,0.2706657350063324,13
290,0.2773207128047943,13
291,0.3458337187767029,13
292,0.14792753756046295,13
293,0.15143044292926788,13
294,0.2817935645580292,13
295,0.3169642686843872,13
296,0.16327497363090515,13
297,0.49610739946365356,14
298,0.35753563046455383,14
299,0.22893764078617096,14
300,0.2830762267112732,14
301,0.20707346498966217,14
302,0.2121860235929489,14
303,0.1781075894832611,14
304,0.2830863296985626,14
305,0.3603138327598572,14
306,0.13036169111728668,14
307,0.2964192032814026,14
308,0.2974594533443451,14
