episode,reward
0,0.04
100,-0.06
200,-0.12
300,0.0
400,-0.06
500,0.02
600,-0.1
700,0.14
800,-0.08
900,0.04
1000,-0.06
1100,0.0
1200,-0.02
1300,0.14
1400,-0.12
1500,-0.02
1600,-0.04
1700,-0.04
1800,0.08
1900,-0.12
2000,0.1
2100,-0.1
2200,0.1
2300,-0.02
2400,0.02
2500,0.1
2600,0.28
2700,0.06
2800,-0.06
2900,0.02
3000,0.08
3100,0.26
3200,-0.06
3300,-0.06
3400,-0.08
3500,0.16
3600,0.02
3700,-0.14
3800,-0.1
3900,0.08
4000,-0.1
4100,0.04
4200,0.02
4300,0.08
4400,0.0
4500,0.08
4600,0.06
4700,0.04
4800,0.16
4900,0.14
