# _tick,_time,frames,mean_episode_return_0,loss_0,mean_episode_return_1,loss_1
0,1745394375.9245658,0,0.027397260069847107,1.0022895336151123,0,0
1,1745394375.9419403,3200,0.027397260069847107,1.0022895336151123,-0.013513513840734959,0.9999444484710693
2,1745394378.9356806,6400,0.028624001890420914,1.0000721216201782,-0.013513513840734959,0.9999444484710693
3,1745394379.1573706,9600,0.028624001890420914,1.0000721216201782,-0.03268268331885338,1.0002236366271973
4,1745394382.185003,12800,0.016751665621995926,0.9990839958190918,-0.03268268331885338,1.0002236366271973
5,1745394382.4677863,16000,0.016751665621995926,0.9990839958190918,-0.01945745386183262,1.0023903846740723
6,1745394385.33708,19200,0.03102012351155281,0.9937763810157776,-0.01945745386183262,1.0023903846740723
7,1745394385.6562445,22400,0.03102012351155281,0.9937763810157776,-0.031040459871292114,1.0039119720458984
8,1745394388.602386,25600,0.0032333664130419493,0.991742730140686,-0.031040459871292114,1.0039119720458984
9,1745394389.0138378,28800,0.0032333664130419493,0.991742730140686,-0.00017483234114479274,0.9995549917221069
10,1745394392.024664,32000,0.006759513169527054,1.0011643171310425,-0.00017483234114479274,0.9995549917221069
11,1745394392.2727582,35200,0.006759513169527054,1.0011643171310425,-0.005701248999685049,0.9992064833641052
12,1745394395.0521555,38400,-0.0016135392943397164,1.005880355834961,-0.005701248999685049,0.9992064833641052
13,1745394395.6276891,41600,-0.0016135392943397164,1.005880355834961,-0.009881789796054363,1.0029512643814087
14,1745394398.3383698,44800,0.007679061498492956,0.9992915391921997,-0.009881789796054363,1.0029512643814087
15,1745394398.9333498,48000,0.007679061498492956,0.9992915391921997,-0.008646567352116108,0.996448278427124
16,1745394401.8200412,51200,-0.0009261046652682126,0.998920738697052,-0.008646567352116108,0.996448278427124
17,1745394402.4485717,54400,-0.0009261046652682126,0.998920738697052,0.0015038036508485675,0.9883507490158081
18,1745394405.121067,57600,0.002925903769209981,0.9973617792129517,0.0015038036508485675,0.9883507490158081
19,1745394405.7166016,60800,0.002925903769209981,0.9973617792129517,-0.003058341797441244,0.9932848215103149
20,1745394408.4303954,64000,0.004594148136675358,1.006621241569519,-0.003058341797441244,0.9932848215103149
21,1745394409.0950027,67200,0.004594148136675358,1.006621241569519,-0.009182360023260117,1.006700038909912
22,1745394411.6947675,70400,0.004857297521084547,0.9991850256919861,-0.009182360023260117,1.006700038909912
23,1745394412.5225165,73600,0.004857297521084547,0.9991850256919861,-0.008417163044214249,0.9966973662376404
24,1745394414.9560401,76800,0.01868484355509281,0.9988111853599548,-0.008417163044214249,0.9966973662376404
25,1745394415.7973084,80000,0.01868484355509281,0.9988111853599548,-0.01222899742424488,0.9955549836158752
26,1745394418.3190627,83200,0.01634417474269867,0.9987544417381287,-0.01222899742424488,0.9955549836158752
27,1745394419.1563873,86400,0.01634417474269867,0.9987544417381287,-0.02242189459502697,1.0084028244018555
28,1745394421.5417037,89600,0.01906408928334713,0.9957823753356934,-0.02242189459502697,1.0084028244018555
29,1745394422.5691426,92800,0.01906408928334713,0.9957823753356934,-0.016547540202736855,0.9989282488822937
30,1745394425.015171,96000,0.012027258053421974,1.0045602321624756,-0.016547540202736855,0.9989282488822937
31,1745394425.9320235,99200,0.012027258053421974,1.0045602321624756,-0.011686788871884346,0.9952822327613831
32,1745394428.238087,102400,0.02258385345339775,1.0017720460891724,-0.011686788871884346,0.9952822327613831
33,1745394429.3256514,105600,0.02258385345339775,1.0017720460891724,-0.02066895365715027,1.0157028436660767
34,1745394431.3851357,108800,0.011826270259916782,1.0195802450180054,-0.02066895365715027,1.0157028436660767
35,1745394432.4657936,112000,0.011826270259916782,1.0195802450180054,-0.010748747736215591,1.0012485980987549
36,1745394434.7496717,115200,0.012323655188083649,0.9994025230407715,-0.010748747736215591,1.0012485980987549
37,1745394435.8490446,118400,0.012323655188083649,0.9994025230407715,-0.009013433009386063,0.993426501750946
38,1745394438.0052907,121600,0.012089152820408344,0.9983263611793518,-0.009013433009386063,0.993426501750946
