episode,reward
0,0.04
100,0.1
200,-0.02
300,0.08
400,0.06
500,0.02
600,0.2
700,0.04
800,0.06
900,-0.04
1000,0.1
1100,0.04
1200,0.0
1300,0.16
1400,0.04
1500,-0.08
1600,-0.06
1700,0.12
1800,-0.14
1900,0.08
2000,-0.08
2100,-0.08
2200,-0.16
2300,0.12
2400,-0.02
2500,0.14
2600,0.1
2700,-0.12
2800,-0.06
2900,0.08
3000,0.12
3100,0.12
3200,-0.08
3300,0.1
3400,0.1
3500,-0.2
3600,0.18
3700,-0.04
3800,-0.02
3900,-0.02
4000,0.1
4100,0.02
4200,-0.1
4300,-0.06
4400,-0.1
4500,0.1
4600,-0.18
4700,0.04
4800,-0.1
4900,0.2
