episode,reward
0,0.04
100,-0.1
200,-0.14
300,-0.06
400,0.12
500,0.02
600,-0.06
700,0.06
800,-0.18
900,0.16
1000,0.0
1100,0.04
1200,-0.06
1300,0.06
1400,-0.04
1500,0.02
1600,0.06
1700,0.1
1800,-0.08
1900,-0.18
2000,-0.08
2100,0.16
2200,-0.18
2300,0.1
2400,0.04
2500,-0.04
2600,0.38
2700,0.04
2800,0.1
2900,-0.06
3000,-0.1
3100,-0.08
3200,0.06
3300,0.04
3400,0.08
3500,-0.02
3600,-0.06
3700,0.08
3800,-0.1
3900,0.02
4000,0.02
4100,0.18
4200,-0.1
4300,-0.02
4400,0.14
4500,0.1
4600,-0.08
4700,-0.08
4800,0.06
4900,-0.1
5000,0.06
5100,0.02
5200,0.04
5300,-0.14
5400,0.16
5500,0.06
5600,0.04
5700,-0.06
5800,-0.1
5900,0.08
6000,0.12
6100,-0.04
6200,0.12
6300,0.12
6400,-0.06
6500,-0.1
6600,0.1
6700,-0.04
6800,0.1
6900,-0.02
7000,0.08
7100,0.1
7200,-0.14
7300,0.14
7400,-0.04
7500,0.08
7600,0.04
7700,0.24
7800,0.12
7900,0.06
8000,0.0
8100,0.04
8200,0.0
8300,0.2
8400,0.12
8500,0.0
8600,0.06
8700,-0.2
8800,0.16
8900,0.12
9000,0.1
9100,0.2
9200,0.06
9300,0.02
9400,0.1
9500,0.1
9600,0.18
9700,0.0
9800,0.02
9900,0.2
