episode,reward
0,0.04
100,0.1
200,0.1
300,0.1
400,-0.06
500,-0.02
600,-0.04
700,-0.16
800,0.0
900,0.08
1000,-0.04
1100,0.02
1200,0.02
1300,-0.08
1400,0.06
1500,0.02
1600,0.0
1700,0.12
1800,0.0
1900,0.14
2000,0.12
2100,-0.02
2200,-0.1
2300,0.14
2400,-0.04
2500,0.06
2600,0.12
2700,0.14
2800,0.04
2900,0.02
3000,0.22
3100,-0.04
3200,-0.06
3300,-0.06
3400,0.06
3500,-0.16
3600,-0.26
3700,0.12
3800,0.06
3900,0.02
4000,0.04
4100,-0.04
4200,0.08
4300,-0.1
4400,0.18
4500,0.06
4600,-0.06
4700,0.04
4800,0.08
4900,0.2
