episode,reward
0,0.04
100,0.0
200,-0.1
300,0.12
400,0.1
500,0.2
600,-0.02
700,-0.06
800,0.02
900,-0.02
1000,0.06
1100,-0.12
1200,-0.04
1300,0.06
1400,0.12
1500,0.14
1600,0.16
1700,-0.08
1800,0.02
1900,0.12
2000,0.02
2100,-0.1
2200,-0.02
2300,0.0
2400,0.14
2500,-0.06
2600,0.14
2700,0.06
2800,-0.14
2900,0.0
3000,-0.14
3100,0.04
3200,0.14
3300,0.04
3400,0.1
3500,0.02
3600,0.16
3700,0.02
3800,-0.2
3900,0.04
4000,0.02
4100,0.02
4200,0.0
4300,0.1
4400,0.08
4500,0.12
4600,0.1
4700,-0.04
4800,0.14
4900,0.12
