episode,reward
0,0.04
100,-0.04
200,-0.14
300,0.08
400,0.16
500,-0.22
600,0.24
700,0.12
800,-0.16
900,0.0
1000,0.04
1100,-0.12
1200,-0.2
1300,-0.12
1400,0.18
1500,-0.02
1600,0.14
1700,0.12
1800,0.1
1900,0.1
2000,0.12
2100,-0.12
2200,0.04
2300,0.12
2400,0.12
2500,0.04
2600,0.2
2700,0.08
2800,0.12
2900,-0.1
3000,-0.18
3100,-0.02
3200,-0.1
3300,-0.02
3400,0.14
3500,0.04
3600,0.06
3700,0.06
3800,0.12
3900,-0.12
4000,0.0
4100,-0.02
4200,-0.1
4300,0.14
4400,0.1
4500,0.06
4600,-0.06
4700,-0.02
4800,0.06
4900,0.08
