episode,reward
0,0.04
100,0.08
200,-0.14
300,-0.06
400,0.12
500,-0.16
600,0.06
700,-0.18
800,-0.06
900,0.1
1000,0.0
1100,-0.06
1200,0.1
1300,-0.02
1400,0.06
1500,-0.04
1600,0.06
1700,-0.02
1800,0.06
1900,-0.04
2000,0.04
2100,0.12
2200,-0.16
2300,0.14
2400,0.04
2500,-0.04
2600,-0.02
2700,-0.1
2800,-0.12
2900,-0.04
3000,0.0
3100,-0.06
3200,-0.02
3300,0.02
3400,0.2
3500,0.08
3600,-0.02
3700,0.08
3800,0.1
3900,0.2
4000,0.02
4100,0.1
4200,0.18
4300,0.12
4400,-0.02
4500,0.12
4600,0.02
4700,0.06
4800,0.06
4900,0.06
