# _tick,_time,frames,mean_episode_return_0,loss_0,mean_episode_return_1,loss_1
0,1745352080.499904,0,0.02068965509533882,1.0,0,0
1,1745352080.5036545,3200,0.02068965509533882,1.0,-0.020134229212999344,1.0
2,1745352083.5757837,6400,0.00640781968832016,0.9999446868896484,-0.020134229212999344,1.0
3,1745352083.9899292,9600,0.00640781968832016,0.9999446868896484,-0.010067114606499672,0.9999720454216003
4,1745352087.2480311,12800,-0.03637852519750595,1.0002413988113403,-0.010067114606499672,0.9999720454216003
5,1745352087.4080625,16000,-0.03637852519750595,1.0002413988113403,0.03092299960553646,1.00058114528656
6,1745352090.2806642,19200,-0.027283893898129463,1.000102162361145,0.03092299960553646,1.00058114528656
7,1745352090.5930128,22400,-0.027283893898129463,1.000102162361145,0.02319224923849106,0.999907374382019
8,1745352093.471877,25600,-0.04370211437344551,0.9999980926513672,0.02319224923849106,0.999907374382019
9,1745352093.7983847,28800,-0.04370211437344551,0.9999980926513672,0.03902624174952507,1.000016450881958
10,1745352096.592317,32000,-0.043362878262996674,1.0000189542770386,0.03902624174952507,1.000016450881958
11,1745352097.1787436,35200,-0.043362878262996674,1.0000189542770386,0.0381908044219017,0.9996458292007446
12,1745352099.9132586,38400,-0.03308654949069023,1.0000041723251343,0.0381908044219017,0.9996458292007446
13,1745352100.3239458,41600,-0.03308654949069023,1.0000041723251343,0.030804472044110298,0.9992853403091431
14,1745352103.3300765,44800,-0.027214616537094116,1.000003457069397,0.030804472044110298,0.9992853403091431
15,1745352103.848457,48000,-0.027214616537094116,1.000003457069397,0.022583283483982086,1.000872015953064
16,1745352106.855513,51200,-0.028820399194955826,0.9999671578407288,0.022583283483982086,1.000872015953064
