episode,reward
0,0.04
100,0.06
200,0.04
300,0.14
400,-0.04
500,0.12
600,-0.1
700,0.04
800,-0.04
900,0.22
1000,0.1
1100,0.02
1200,0.12
1300,0.0
1400,0.1
1500,0.02
1600,0.14
1700,0.02
1800,0.12
1900,0.02
2000,0.08
2100,0.14
2200,0.0
2300,0.0
2400,0.12
2500,-0.1
2600,0.0
2700,0.16
2800,0.06
2900,-0.02
3000,-0.06
3100,0.08
3200,0.02
3300,0.0
3400,-0.06
3500,-0.12
3600,0.0
3700,0.08
3800,-0.12
3900,0.02
4000,0.12
4100,-0.04
4200,-0.14
4300,0.1
4400,-0.1
4500,0.02
4600,-0.1
4700,-0.08
4800,0.04
4900,0.0
